"year","cardinal_direction","speed_bin","count_speed_bin","count_total","cumulative_percent"
"2010","E",1,"5266","12006","43.861"
"2010","E",2,"4705","12006","83.050"
"2010","E",3,"1304","12006","93.911"
"2010","E",4,"494","12006","98.026"
"2010","E",5,"167","12006","99.417"
"2010","E",6,"51","12006","99.842"
"2010","E",7,"16","12006","99.975"
"2010","E",8,"3","12006","100.000"
"2010","N",1,"4198","11602","36.183"
"2010","N",2,"4523","11602","75.168"
"2010","N",3,"2143","11602","93.639"
"2010","N",4,"500","11602","97.949"
"2010","N",5,"155","11602","99.285"
"2010","N",6,"40","11602","99.629"
"2010","N",7,"12","11602","99.733"
"2010","N",8,"9","11602","99.810"
"2010","N",9,"13","11602","99.922"
"2010","N",10,"5","11602","99.966"
"2010","N",11,"3","11602","99.991"
"2010","N",12,"1","11602","100.000"
"2010","NE",1,"5789","12951","44.699"
"2010","NE",2,"4743","12951","81.322"
"2010","NE",3,"1596","12951","93.645"
"2010","NE",4,"569","12951","98.039"
"2010","NE",5,"191","12951","99.514"
"2010","NE",6,"49","12951","99.892"
"2010","NE",7,"8","12951","99.954"
"2010","NE",8,"3","12951","99.977"
"2010","NE",9,"1","12951","99.985"
"2010","NE",10,"1","12951","99.992"
"2010","NE",11,"1","12951","100.000"
"2010","NW",1,"2640","5536","47.688"
"2010","NW",2,"2009","5536","83.978"
"2010","NW",3,"741","5536","97.363"
"2010","NW",4,"112","5536","99.386"
"2010","NW",5,"20","5536","99.747"
"2010","NW",6,"10","5536","99.928"
"2010","NW",7,"1","5536","99.946"
"2010","NW",8,"1","5536","99.964"
"2010","NW",9,"2","5536","100.000"
"2010","S",1,"2120","6385","33.203"
"2010","S",2,"1859","6385","62.318"
"2010","S",3,"1414","6385","84.464"
"2010","S",4,"673","6385","95.004"
"2010","S",5,"263","6385","99.123"
"2010","S",6,"49","6385","99.890"
"2010","S",7,"7","6385","100.000"
"2010","SE",1,"2959","12625","23.438"
"2010","SE",2,"4888","12625","62.154"
"2010","SE",3,"3026","12625","86.123"
"2010","SE",4,"1140","12625","95.152"
"2010","SE",5,"461","12625","98.804"
"2010","SE",6,"136","12625","99.881"
"2010","SE",7,"14","12625","99.992"
"2010","SE",8,"1","12625","100.000"
"2010","SW",1,"1870","5822","32.120"
"2010","SW",2,"1862","5822","64.102"
"2010","SW",3,"1582","5822","91.274"
"2010","SW",4,"415","5822","98.403"
"2010","SW",5,"86","5822","99.880"
"2010","SW",6,"7","5822","100.000"
"2010","W",1,"2062","5467","37.717"
"2010","W",2,"1882","5467","72.142"
"2010","W",3,"1259","5467","95.171"
"2010","W",4,"232","5467","99.415"
"2010","W",5,"27","5467","99.909"
"2010","W",6,"5","5467","100.000"
