"year","cardinal_direction","speed_bin","count_speed_bin","count_total","percent_frequency","cumulative_percent_frequency"
"2010","E",1,"5266","72394","7.274","7.274"
"2010","E",2,"4705","72394","6.499","13.773"
"2010","E",3,"1304","72394","1.801","15.574"
"2010","E",4,"494","72394","0.682","16.256"
"2010","E",5,"167","72394","0.231","16.487"
"2010","E",6,"51","72394","0.070","16.557"
"2010","E",7,"16","72394","0.022","16.579"
"2010","E",8,"3","72394","0.004","16.583"
"2010","N",1,"4198","72394","5.799","5.799"
"2010","N",2,"4523","72394","6.248","12.047"
"2010","N",3,"2143","72394","2.960","15.007"
"2010","N",4,"500","72394","0.691","15.698"
"2010","N",5,"155","72394","0.214","15.912"
"2010","N",6,"40","72394","0.055","15.967"
"2010","N",7,"12","72394","0.017","15.984"
"2010","N",8,"9","72394","0.012","15.996"
"2010","N",9,"13","72394","0.018","16.014"
"2010","N",10,"5","72394","0.007","16.021"
"2010","N",11,"3","72394","0.004","16.025"
"2010","N",12,"1","72394","0.001","16.026"
"2010","NE",1,"5789","72394","7.997","7.997"
"2010","NE",2,"4743","72394","6.552","14.549"
"2010","NE",3,"1596","72394","2.205","16.754"
"2010","NE",4,"569","72394","0.786","17.540"
"2010","NE",5,"191","72394","0.264","17.804"
"2010","NE",6,"49","72394","0.068","17.872"
"2010","NE",7,"8","72394","0.011","17.883"
"2010","NE",8,"3","72394","0.004","17.887"
"2010","NE",9,"1","72394","0.001","17.888"
"2010","NE",10,"1","72394","0.001","17.889"
"2010","NE",11,"1","72394","0.001","17.890"
"2010","NW",1,"2640","72394","3.647","3.647"
"2010","NW",2,"2009","72394","2.775","6.422"
"2010","NW",3,"741","72394","1.024","7.446"
"2010","NW",4,"112","72394","0.155","7.601"
"2010","NW",5,"20","72394","0.028","7.629"
"2010","NW",6,"10","72394","0.014","7.643"
"2010","NW",7,"1","72394","0.001","7.644"
"2010","NW",8,"1","72394","0.001","7.645"
"2010","NW",9,"2","72394","0.003","7.648"
"2010","S",1,"2120","72394","2.928","2.928"
"2010","S",2,"1859","72394","2.568","5.496"
"2010","S",3,"1414","72394","1.953","7.449"
"2010","S",4,"673","72394","0.930","8.379"
"2010","S",5,"263","72394","0.363","8.742"
"2010","S",6,"49","72394","0.068","8.810"
"2010","S",7,"7","72394","0.010","8.820"
"2010","SE",1,"2959","72394","4.087","4.087"
"2010","SE",2,"4888","72394","6.752","10.839"
"2010","SE",3,"3026","72394","4.180","15.019"
"2010","SE",4,"1140","72394","1.575","16.594"
"2010","SE",5,"461","72394","0.637","17.231"
"2010","SE",6,"136","72394","0.188","17.419"
"2010","SE",7,"14","72394","0.019","17.438"
"2010","SE",8,"1","72394","0.001","17.439"
"2010","SW",1,"1870","72394","2.583","2.583"
"2010","SW",2,"1862","72394","2.572","5.155"
"2010","SW",3,"1582","72394","2.185","7.340"
"2010","SW",4,"415","72394","0.573","7.913"
"2010","SW",5,"86","72394","0.119","8.032"
"2010","SW",6,"7","72394","0.010","8.042"
"2010","W",1,"2062","72394","2.848","2.848"
"2010","W",2,"1882","72394","2.600","5.448"
"2010","W",3,"1259","72394","1.739","7.187"
"2010","W",4,"232","72394","0.320","7.507"
"2010","W",5,"27","72394","0.037","7.544"
"2010","W",6,"5","72394","0.007","7.551"
