"year_month","montly_max_speed","monthly_min_speed","montly_avg_speed"
"2010-April","6.31","0.0","1.792"
"2010-August","6.49","0.0","1.358"
"2010-December","5.01","0.0","0.943"
"2010-January","6.31","0.0","1.661"
"2010-July","11.13","0.0","1.363"
"2010-June","7.24","0.0","1.298"
"2010-March","7.05","0.0","1.510"
"2010-May","6.68","0.0","1.620"
"2010-November","6.86","0.0","0.938"
"2010-October","6.86","0.0","1.010"
"2010-September","6.68","0.0","1.175"
"2011-January","0.0","0.0","0.000"
