"year","month","speed_bin","frequency","monthly_total"
"2010","1",1,"1152","2953"
"2010","1",2,"798","2953"
"2010","1",3,"567","2953"
"2010","1",4,"234","2953"
"2010","1",5,"161","2953"
"2010","1",6,"38","2953"
"2010","1",7,"3","2953"
"2010","3",1,"851","2088"
"2010","3",2,"658","2088"
"2010","3",3,"379","2088"
"2010","3",4,"123","2088"
"2010","3",5,"54","2088"
"2010","3",6,"20","2088"
"2010","3",7,"2","2088"
"2010","3",8,"1","2088"
"2010","4",1,"2760","8640"
"2010","4",2,"2576","8640"
"2010","4",3,"1837","8640"
"2010","4",4,"945","8640"
"2010","4",5,"430","8640"
"2010","4",6,"86","8640"
"2010","4",7,"6","8640"
"2010","5",1,"2818","8928"
"2010","5",2,"3204","8928"
"2010","5",3,"2034","8928"
"2010","5",4,"694","8928"
"2010","5",5,"151","8928"
"2010","5",6,"23","8928"
"2010","5",7,"4","8928"
"2010","6",1,"3700","8640"
"2010","6",2,"3317","8640"
"2010","6",3,"1213","8640"
"2010","6",4,"325","8640"
"2010","6",5,"70","8640"
"2010","6",6,"11","8640"
"2010","6",7,"3","8640"
"2010","6",8,"1","8640"
"2010","7",1,"3882","8928"
"2010","7",2,"3058","8928"
"2010","7",3,"1325","8928"
"2010","7",4,"348","8928"
"2010","7",5,"156","8928"
"2010","7",6,"91","8928"
"2010","7",7,"26","8928"
"2010","7",8,"15","8928"
"2010","7",9,"16","8928"
"2010","7",10,"6","8928"
"2010","7",11,"4","8928"
"2010","7",12,"1","8928"
"2010","8",1,"3464","8927"
"2010","8",2,"3205","8927"
"2010","8",3,"1720","8927"
"2010","8",4,"436","8927"
"2010","8",5,"85","8927"
"2010","8",6,"15","8927"
"2010","8",7,"2","8927"
"2010","9",1,"4194","8640"
"2010","9",2,"2874","8640"
"2010","9",3,"1214","8640"
"2010","9",4,"280","8640"
"2010","9",5,"55","8640"
"2010","9",6,"17","8640"
"2010","9",7,"6","8640"
"2010","10",1,"5300","8928"
"2010","10",2,"2078","8928"
"2010","10",3,"1043","8928"
"2010","10",4,"330","8928"
"2010","10",5,"135","8928"
"2010","10",6,"39","8928"
"2010","10",7,"3","8928"
"2010","11",1,"5195","8640"
"2010","11",2,"2399","8640"
"2010","11",3,"858","8640"
"2010","11",4,"148","8640"
"2010","11",5,"31","8640"
"2010","11",6,"6","8640"
"2010","11",7,"3","8640"
"2010","12",1,"5434","8928"
"2010","12",2,"2304","8928"
"2010","12",3,"875","8928"
"2010","12",4,"272","8928"
"2010","12",5,"42","8928"
"2010","12",6,"1","8928"
"2011","1",1,"1","1"
