years,months,year_month,speed_bin,frequency,percent_frequency
2010,8,2010-August,1,3464,38.804
2010,12,2010-December,3,875,9.801
2010,4,2010-April,1,2760,31.944
2010,8,2010-August,6,15,0.168
2010,7,2010-July,1,3882,43.481
2010,9,2010-September,5,55,0.637
2010,9,2010-September,1,4194,48.542
2010,11,2010-November,2,2399,27.766
2010,5,2010-May,5,151,1.691
2010,6,2010-June,7,3,0.035
2010,9,2010-September,6,17,0.197
2010,10,2010-October,2,2078,23.275
2010,11,2010-November,7,3,0.035
2010,3,2010-March,4,123,5.891
2010,5,2010-May,2,3204,35.887
2010,12,2010-December,6,1,0.011
2010,7,2010-July,10,6,0.067
2010,9,2010-September,2,2874,33.264
2010,5,2010-May,1,2818,31.564
2010,6,2010-June,4,325,3.762
2010,5,2010-May,6,23,0.258
2010,7,2010-July,8,15,0.168
2010,12,2010-December,1,5434,60.865
2010,10,2010-October,7,3,0.034
2010,9,2010-September,4,280,3.241
2010,7,2010-July,5,156,1.747
2010,11,2010-November,4,148,1.713
2010,11,2010-November,6,6,0.069
2010,1,2010-January,3,567,19.201
2010,1,2010-January,7,3,0.102
2010,10,2010-October,5,135,1.512
2010,10,2010-October,3,1043,11.682
2010,10,2010-October,6,39,0.437
2010,3,2010-March,3,379,18.151
2010,4,2010-April,5,430,4.977
2010,3,2010-March,2,658,31.513
2010,7,2010-July,12,1,0.011
2010,3,2010-March,1,851,40.757
2010,6,2010-June,6,11,0.127
2010,6,2010-June,3,1213,14.039
2010,5,2010-May,4,694,7.773
2010,6,2010-June,2,3317,38.391
2010,7,2010-July,7,26,0.291
2010,8,2010-August,7,2,0.022
2010,3,2010-March,6,20,0.958
2010,5,2010-May,3,2034,22.782
2010,8,2010-August,5,85,0.952
2010,9,2010-September,7,6,0.069
2010,11,2010-November,5,31,0.359
2010,1,2010-January,5,161,5.452
2010,3,2010-March,8,1,0.048
2010,7,2010-July,6,91,1.019
2010,12,2010-December,2,2304,25.806
2011,1,2011-January,1,1,100.0
2010,10,2010-October,4,330,3.696
2010,1,2010-January,6,38,1.287
2010,3,2010-March,7,2,0.096
2010,6,2010-June,8,1,0.012
2010,4,2010-April,6,86,0.995
2010,10,2010-October,1,5300,59.364
2010,1,2010-January,1,1152,39.011
2010,4,2010-April,3,1837,21.262
2010,7,2010-July,9,16,0.179
2010,8,2010-August,2,3205,35.902
2010,11,2010-November,3,858,9.931
2010,4,2010-April,7,6,0.069
2010,1,2010-January,2,798,27.023
2010,7,2010-July,3,1325,14.841
2010,7,2010-July,11,4,0.045
2010,6,2010-June,5,70,0.81
2010,7,2010-July,2,3058,34.252
2010,4,2010-April,4,945,10.938
2010,8,2010-August,3,1720,19.267
2010,12,2010-December,4,272,3.047
2010,4,2010-April,2,2576,29.815
2010,7,2010-July,4,348,3.898
2010,9,2010-September,3,1214,14.051
2010,1,2010-January,4,234,7.924
2010,5,2010-May,7,4,0.045
2010,8,2010-August,4,436,4.884
2010,12,2010-December,5,42,0.47
2010,3,2010-March,5,54,2.586
2010,6,2010-June,1,3700,42.824
2010,11,2010-November,1,5195,60.127
